AIRPORT_CODE,AIRPORT_NAME,ORIGIN_STATE,LATITUDE,LONGITUDE,FLIGHT_YEAR,TOTAL_DEPARTURES,ON_TIME_RATE_PCT,CANCELLATION_RATE_PCT,AVG_DEP_DELAY_MINS,AVG_DISTANCE
ITH,Ithaca Tompkins Regional Airport,New York,42.49100112915039,-76.4583969116211,2016,901,81.91,1.0,11.15,353.0
BIL,Billings Logan International Airport,Montana,45.80770111083984,-108.54299926757812,2016,3405,90.72,1.0,0.71,512.77
STL,St Louis Lambert International Airport,Missouri,38.74869699999999,-90.370003,2016,55436,82.26,1.0,8.83,733.63
BFL,Meadows Field,California,35.43360138,-119.0569992,2016,2598,88.38,1.0,4.56,493.25
BDL,Bradley International Airport,Connecticut,41.9388999939,-72.68319702149999,2016,20263,85.46,0.99,6.31,864.0
MLI,Quad City International Airport,Illinois,41.44850158691406,-90.50749969482422,2016,2521,86.0,0.99,8.8,435.01
HSV,Huntsville International Carl T Jones Field,Alabama,34.637199401855,-86.775100708008,2016,4064,88.83,0.98,5.21,284.17
COD,Yellowstone Regional Airport,Wyoming,44.520198822,-109.024002075,2016,919,87.92,0.98,4.82,318.42
LIT,Bill & Hillary Clinton National Airport/Adams Field,Arkansas,34.729400634799994,-92.22429656980002,2016,8361,87.06,0.98,5.26,516.79
ALB,Albany International Airport,New York,42.74829864501953,-73.80169677734375,2016,9326,86.46,0.97,6.39,775.35
CPR,Casper-Natrona County International Airport,Wyoming,42.908001,-106.463997,2016,1471,90.48,0.95,1.03,275.52
PNS,Pensacola Regional Airport,Florida,30.473400115967003,-87.18659973144499,2016,5956,87.69,0.94,4.96,410.54
HRL,Valley International Airport,Texas,26.228500366210938,-97.65440368652344,2016,2966,86.21,0.94,4.1,282.01
TUS,Tucson International Airport,Arizona,32.1161003112793,-110.94100189208984,2016,16043,84.47,0.94,7.01,711.32
FWA,Fort Wayne International Airport,Indiana,40.978500370000006,-85.19509888000002,2016,4178,84.35,0.93,9.87,303.79
SJC,Norman Y. Mineta San Jose International Airport,California,37.362598,-121.929001,2016,41993,82.71,0.92,7.47,749.26
SNA,John Wayne Airport-Orange County Airport,California,33.67570114,-117.86799620000001,2016,42463,84.58,0.92,6.48,807.95
TPA,Tampa International Airport,Florida,27.975500106811523,-82.533203125,2016,67792,83.86,0.92,8.45,863.91
JAC,Jackson Hole Airport,Wyoming,43.6072998046875,-110.73799896240234,2016,3914,81.43,0.92,10.62,676.52
RST,Rochester International Airport,Minnesota,43.90829849243164,-92.5,2016,1205,85.98,0.91,8.37,295.29
